station,date,depth_m,flag,parameter,value,depth.measurement,sitetype,datasource
200,2016-06-21,15,NA,DO_pctsat,88.1,actual,pelagic,LMP DO
200,2012-05-23,12,NA,temp_C,10.1,actual,pelagic,LMP DO
200,2001-06-25,13,NA,DO_mgl,11.6,actual,pelagic,LMP DO
200,2010-06-02,3,NA,temp_C,20.1,actual,pelagic,LMP DO
200,2010-08-17,4,NA,DO_mgl,8.17,actual,pelagic,LMP DO
200,2012-05-23,11,NA,temp_C,10.5,actual,pelagic,LMP DO
200,1991-08-27,12,NA,DO_mgl,8.4,actual,pelagic,LMP DO
200,2000-08-13,1,NA,DO_mgl,8.7,actual,pelagic,LMP DO
200,1995-08-10,22,NA,DO_pctsat,46,actual,pelagic,LMP DO
200,2019-09-30,20.212,NA,temp_C,10.3,actual,pelagic,LMP DO
200,2004-07-26,2,NA,DO_mgl,8.370000000000001,actual,pelagic,LMP DO
200,2003-06-23,16,NA,temp_C,8,actual,pelagic,LMP DO
200,1991-07-30,7.5,NA,DO_mgl,8.6,actual,pelagic,LMP DO
200,1994-09-14,1,NA,temp_C,17.3,actual,pelagic,LMP DO
200,2004-07-26,0.5,NA,DO_mgl,8.16,actual,pelagic,LMP DO
200,2017-07-18,18,NA,temp_C,10.1,actual,pelagic,LMP DO
200,1997-06-02,8,NA,DO_mgl,11.3,actual,pelagic,LMP DO
200,1997-06-02,9,NA,DO_mgl,11.1,actual,pelagic,LMP DO
200,1989-07-25,5.5,NA,temp_C,20.8,actual,pelagic,LMP DO
200,2001-07-23,12,NA,temp_C,10,actual,pelagic,LMP DO
200,1991-08-27,4,NA,DO_mgl,7.9,actual,pelagic,LMP DO
200,2007-09-11,0.5,NA,DO_pctsat,101,actual,pelagic,LMP DO
200,2003-08-18,9,NA,DO_mgl,10.629999999999999,actual,pelagic,LMP DO
200,2017-06-20,8,NA,temp_C,14.4,actual,pelagic,LMP DO
200,1999-09-20,20,NA,temp_C,10,actual,pelagic,LMP DO
200,1997-06-02,11,NA,DO_mgl,11.1,actual,pelagic,LMP DO
200,2000-07-24,15,NA,temp_C,10.5,actual,pelagic,LMP DO
200,2010-07-12,1,NA,temp_C,25.7,actual,pelagic,LMP DO
200,2017-06-20,14,NA,temp_C,10,actual,pelagic,LMP DO
200,2012-08-20,5,NA,DO_mgl,8.25,actual,pelagic,LMP DO
200,2004-07-26,18,NA,DO_mgl,7.64,actual,pelagic,LMP DO
200,1993-05-30,0.5,NA,temp_C,12.1,actual,pelagic,LMP DO
200,2012-08-20,0.1,NA,DO_mgl,8.53,actual,pelagic,LMP DO
200,2012-09-17,9,NA,DO_pctsat,91.5,actual,pelagic,LMP DO
200,2016-09-28,9,NA,temp_C,19.4,actual,pelagic,LMP DO
200,2000-05-27,15,NA,temp_C,8,actual,pelagic,LMP DO
200,2016-06-21,18,NA,DO_pctsat,83.1,actual,pelagic,LMP DO
200,2019-09-30,10.032,NA,temp_C,16.9,actual,pelagic,LMP DO
200,2012-05-23,14,NA,temp_C,9.7,actual,pelagic,LMP DO
200,1993-06-13,8,NA,temp_C,13,actual,pelagic,LMP DO
200,2012-05-23,13,NA,temp_C,10,actual,pelagic,LMP DO
200,2005-08-22,14,NA,temp_C,10.2,actual,pelagic,LMP DO
200,1997-06-02,9,NA,temp_C,8.9,actual,pelagic,LMP DO
200,2006-05-31,11,NA,DO_pctsat,108.2,actual,pelagic,LMP DO
200,1991-05-28,9,NA,DO_pctsat,101,actual,pelagic,LMP DO
200,1995-08-10,17,NA,temp_C,9.6,actual,pelagic,LMP DO
200,1993-06-13,9,NA,temp_C,12.7,actual,pelagic,LMP DO
200,1991-08-27,12.5,NA,DO_mgl,8.2,actual,pelagic,LMP DO
200,1990-08-28,0.5,NA,temp_C,23.4,actual,pelagic,LMP DO
200,2017-06-20,10,NA,temp_C,12.8,actual,pelagic,LMP DO
200,2012-08-20,10,NA,DO_pctsat,78.3,actual,pelagic,LMP DO
200,1997-06-02,7,NA,DO_pctsat,96,actual,pelagic,LMP DO
200,2010-07-12,7,NA,DO_mgl,8.56,actual,pelagic,LMP DO
200,2016-08-23,8,NA,temp_C,23.3,actual,pelagic,LMP DO
200,2016-08-23,7,NA,temp_C,23.3,actual,pelagic,LMP DO
200,2004-07-26,10,NA,temp_C,15.2,actual,pelagic,LMP DO
200,1987-07-01,5,NA,DO_pctsat,96,actual,pelagic,LMP DO
200,2017-07-18,19,NA,temp_C,10,actual,pelagic,LMP DO
200,2015-06-22,13,NA,DO_pctsat,87.7,actual,pelagic,LMP DO
200,1998-09-09,17,NA,temp_C,10,actual,pelagic,LMP DO
200,2017-07-18,1,NA,temp_C,23.6,actual,pelagic,LMP DO
200,1994-08-03,1,NA,temp_C,25,actual,pelagic,LMP DO
200,2008-06-03,0.5,NA,DO_pctsat,103,actual,pelagic,LMP DO
200,2011-09-19,0.5,NA,temp_C,18.6,actual,pelagic,LMP DO
200,2012-08-20,12,NA,DO_mgl,6.09,actual,pelagic,LMP DO
200,2012-08-20,10,NA,DO_mgl,7.609999999999999,actual,pelagic,LMP DO
200,1999-07-01,8,NA,temp_C,15,actual,pelagic,LMP DO
200,2017-06-20,7,NA,temp_C,20.7,actual,pelagic,LMP DO
200,2005-08-22,14,NA,DO_mgl,6.51,actual,pelagic,LMP DO
200,2004-09-20,13,NA,temp_C,12.8,actual,pelagic,LMP DO
200,2004-09-20,12,NA,temp_C,15.6,actual,pelagic,LMP DO
200,2003-08-18,1,NA,DO_mgl,7.63,actual,pelagic,LMP DO
200,2012-08-20,3,NA,DO_mgl,8.3,actual,pelagic,LMP DO
200,1993-05-30,4,NA,temp_C,12,actual,pelagic,LMP DO
200,2000-08-13,9,NA,DO_mgl,8.1,actual,pelagic,LMP DO
200,2017-06-20,17,NA,temp_C,9.7,actual,pelagic,LMP DO
200,2011-05-31,11,NA,DO_mgl,10.62,actual,pelagic,LMP DO
200,2000-08-13,5,NA,DO_mgl,8.7,actual,pelagic,LMP DO
200,1999-09-20,9,NA,DO_pctsat,96,actual,pelagic,LMP DO
200,2004-06-21,4,NA,DO_mgl,10.27,actual,pelagic,LMP DO
