"date","depth.m","variable","value"
1987-09-03,12.5,"DO_mgL",7.2
1987-09-03,12.5,"DOsat_perc",65
1987-09-03,13,"DO_mgL",7
1987-09-03,13,"DOsat_perc",62
1987-09-03,14,"DO_mgL",7
1987-09-03,14,"DOsat_perc",62
1987-09-03,15,"DO_mgL",6.7
1987-09-03,15,"DOsat_perc",57
1987-09-03,16,"DO_mgL",6.8
1987-09-03,16,"DOsat_perc",58
1987-09-03,18,"DO_mgL",6.1
1987-09-03,18,"DOsat_perc",53
1987-09-03,19,"DO_mgL",6
1987-09-03,19,"DOsat_perc",51
1987-09-03,20,"DO_mgL",5.7
1987-09-03,20,"DOsat_perc",47
1987-09-03,21,"TP_mgL",0.008
1987-09-03,21,"DO_mgL",5.7
1987-09-03,21,"pH",6
1987-09-03,21,"DOsat_perc",47
1987-09-03,21,"COND",73.5
1987-09-03,22,"DO_mgL",5.5
1987-09-03,22,"DOsat_perc",46
1987-09-03,23,"DO_mgL",5.2
1987-09-03,23,"DOsat_perc",44
1987-09-03,24,"DO_mgL",5.2
1987-09-03,24,"DOsat_perc",44
1988-06-09,3.5,"pH",6.8
1988-06-09,3.5,"COND",56.3
1988-06-09,10,"pH",6.6
1988-06-09,10,"COND",56.3
1988-06-09,21,"pH",6.4
1988-06-09,21,"COND",56.8
1988-07-14,3.5,"pH",7.1
1988-07-14,3.5,"COND",63.1
1988-07-14,10,"TP_mgL",0.002
1988-07-14,10,"pH",6.8
1988-07-14,10,"COND",83.1
1988-07-14,21,"TP_mgL",0.003
1988-07-14,21,"pH",6.5
1988-07-14,21,"COND",63.4
1988-08-11,3.5,"TP_mgL",0.006
1988-08-11,3.5,"pH",6.7
1988-08-11,3.5,"COND",60.2
1988-08-11,10,"pH",6.8
1988-08-11,10,"COND",63.3
1988-08-11,21,"TP_mgL",0.008
1988-08-11,21,"pH",6.3
1988-08-11,21,"COND",60.4
1988-09-07,3.5,"TP_mgL",0.008
1988-09-07,3.5,"pH",6.6
1988-09-07,3.5,"COND",51.6
1988-09-07,10,"TP_mgL",0.004
1988-09-07,10,"pH",6.4
1988-09-07,10,"COND",51.1
1988-09-07,21,"TP_mgL",0.01
1988-09-07,21,"pH",6.2
1988-09-07,21,"COND",52.4
1989-05-24,0.1,"DO_mgL",10
1989-05-24,0.1,"DOsat_perc",97
1989-05-24,0.5,"DO_mgL",10.2
1989-05-24,0.5,"DOsat_perc",99
1989-05-24,1,"DOsat_perc",99
1989-05-24,2,"DO_mgL",10.2
1989-05-24,2,"DOsat_perc",99
1989-05-24,3,"DO_mgL",10.4
1989-05-24,3,"DOsat_perc",100
1989-05-24,3.5,"TP_mgL",0.007
1989-05-24,3.5,"pH",5.7
