station,date,depth_m,layer,parameter,value,depth.measurement,datasource,sitetype
200,1979-07-17,18,mid-hyp,TIN_mgl,0.025,actual,trophic reports (Woody),pelagic
200,1979-07-17,18,mid-hyp,TKN_mgl,0.05,actual,trophic reports (Woody),pelagic
200,1995-09-07,16,NA,TIN_mgl,0.08,actual,trophic reports (Woody),pelagic
200,1995-09-07,16,NA,TKN_mgl,0.19,actual,trophic reports (Woody),pelagic
200,1995-09-07,16,NA,TP_mgl,0.005,actual,trophic reports (Woody),pelagic
200,2007-02-28,7,NA,H_M,1e-6,actual,trophic reports (Woody),pelagic
200,2007-02-28,7,NA,NO3_mgL,0.221,actual,trophic reports (Woody),pelagic
200,2007-02-28,7,NA,TKN_mgl,0.125,actual,trophic reports (Woody),pelagic
200,2007-02-28,7,NA,TP_mgl,0.005,actual,trophic reports (Woody),pelagic
200,1987-03-03,4.5,NA,H_M,3.981071705534969e-7,actual,trophic reports (Woody),pelagic
200,1987-03-03,4.5,NA,TIN_mgl,0.025,actual,trophic reports (Woody),pelagic
200,1987-03-03,4.5,NA,TKN_mgl,0.33,actual,trophic reports (Woody),pelagic
200,1987-03-03,4.5,NA,TP_mgl,0.002,actual,trophic reports (Woody),pelagic
200,1987-03-03,9,NA,H_M,3.981071705534969e-7,actual,trophic reports (Woody),pelagic
200,1987-03-03,9,NA,TIN_mgl,0.025,actual,trophic reports (Woody),pelagic
200,1987-03-03,9,NA,TKN_mgl,0.3,actual,trophic reports (Woody),pelagic
200,1987-03-03,9,NA,TP_mgl,0.004,actual,trophic reports (Woody),pelagic
200,1986-08-06,4,NA,H_M,1.584893192461114e-7,actual,trophic reports (Woody),pelagic
200,1986-08-06,4,NA,TIN_mgl,0.025,actual,trophic reports (Woody),pelagic
200,1986-08-06,4,NA,TKN_mgl,0.33,actual,trophic reports (Woody),pelagic
200,1986-08-06,4,NA,TP_mgl,0.006,actual,trophic reports (Woody),pelagic
200,1986-08-06,11,NA,H_M,1.9952623149688787e-7,actual,trophic reports (Woody),pelagic
200,1986-08-06,11,NA,TKN_mgl,0.23,actual,trophic reports (Woody),pelagic
200,1986-08-06,11,NA,TP_mgl,0.006,actual,trophic reports (Woody),pelagic
200,1986-08-06,15,NA,H_M,5.011872336272725e-7,actual,trophic reports (Woody),pelagic
200,1986-08-06,15,NA,TIN_mgl,0.025,actual,trophic reports (Woody),pelagic
200,1986-08-06,15,NA,TKN_mgl,0.25,actual,trophic reports (Woody),pelagic
200,1986-08-06,15,NA,TP_mgl,0.004,actual,trophic reports (Woody),pelagic
200,1996-02-28,4,NA,TKN_mgl,0.2,actual,trophic reports (Woody),pelagic
200,1996-02-28,4,NA,TP_mgl,0.009,actual,trophic reports (Woody),pelagic
200,1996-02-28,11,NA,H_M,2.5118864315095823e-7,actual,trophic reports (Woody),pelagic
200,1996-02-28,11,NA,TIN_mgl,0.025,actual,trophic reports (Woody),pelagic
200,1996-02-28,11,NA,TKN_mgl,0.2,actual,trophic reports (Woody),pelagic
200,1996-02-28,11,NA,TP_mgl,0.007,actual,trophic reports (Woody),pelagic
200,1995-09-07,7,NA,H_M,1e-7,actual,trophic reports (Woody),pelagic
200,1995-09-07,7,NA,TIN_mgl,0.09,actual,trophic reports (Woody),pelagic
200,1995-09-07,7,NA,TKN_mgl,0.18,actual,trophic reports (Woody),pelagic
200,1995-09-07,7,NA,TP_mgl,0.006,actual,trophic reports (Woody),pelagic
200,1995-09-07,13,NA,H_M,3.981071705534969e-7,actual,trophic reports (Woody),pelagic
200,1995-09-07,13,NA,TKN_mgl,0.27,actual,trophic reports (Woody),pelagic
200,1995-09-07,13,NA,TP_mgl,0.006,actual,trophic reports (Woody),pelagic
200,1995-09-07,16,NA,H_M,6.30957344480193e-7,actual,trophic reports (Woody),pelagic
200,2006-08-15,4.5,NA,TKN_mgl,0.125,actual,trophic reports (Woody),pelagic
200,2006-08-15,4.5,NA,TP_mgl,0.007,actual,trophic reports (Woody),pelagic
200,2006-08-15,10.5,NA,H_M,6.30957344480193e-7,actual,trophic reports (Woody),pelagic
200,2006-08-15,10.5,NA,TKN_mgl,0.125,actual,trophic reports (Woody),pelagic
200,2006-08-15,10.5,NA,TP_mgl,0.005,actual,trophic reports (Woody),pelagic
200,2006-08-15,16.5,NA,H_M,5.011872336272725e-7,actual,trophic reports (Woody),pelagic
200,2006-08-15,16.5,NA,NO3_mgL,0.221,actual,trophic reports (Woody),pelagic
200,2007-02-28,14,NA,H_M,6.30957344480193e-7,actual,trophic reports (Woody),pelagic
200,2007-02-28,14,NA,NO3_mgL,0.221,actual,trophic reports (Woody),pelagic
200,2007-02-28,14,NA,TKN_mgl,0.125,actual,trophic reports (Woody),pelagic
200,2007-02-28,14,NA,TP_mgl,0.005,actual,trophic reports (Woody),pelagic
200,2006-08-15,4.5,NA,H_M,2.5118864315095823e-7,actual,trophic reports (Woody),pelagic
200,2006-08-15,4.5,NA,NO3_mgL,0.221,actual,trophic reports (Woody),pelagic
200,2006-08-15,16.5,NA,TP_mgl,0.005,actual,trophic reports (Woody),pelagic
200,2006-08-15,16.5,NA,TKN_mgl,0.125,actual,trophic reports (Woody),pelagic
200,1996-02-28,4,NA,TIN_mgl,0.025,actual,trophic reports (Woody),pelagic
200,1996-02-28,4,NA,H_M,2.5118864315095823e-7,actual,trophic reports (Woody),pelagic
210,1979-03-07,9.1,NA,TP_mgl,0.01,actual,trophic reports (Woody),pelagic
210,1979-03-07,9.1,NA,TIN_mgl,0.025,actual,trophic reports (Woody),pelagic
210,1979-03-07,18.3,NA,TP_mgl,0.008,actual,trophic reports (Woody),pelagic
210,1979-03-07,18.3,NA,TIN_mgl,0.025,actual,trophic reports (Woody),pelagic
210,1979-03-07,9.1,NA,PO4_mgL,0.0215,actual,trophic reports (Woody),pelagic
210,1979-07-17,20,mid-hyp,TKN_mgl,0.16,actual,trophic reports (Woody),pelagic
210,1986-08-06,3,NA,TKN_mgl,0.28,actual,trophic reports (Woody),pelagic
210,1979-03-07,9.1,NA,TKN_mgl,0.15,actual,trophic reports (Woody),pelagic
210,1979-03-07,18.3,NA,PO4_mgL,0.00613,actual,trophic reports (Woody),pelagic
210,1987-03-03,10,NA,H_M,3.981071705534969e-7,actual,trophic reports (Woody),pelagic
210,1987-03-03,10,NA,TIN_mgl,0.025,actual,trophic reports (Woody),pelagic
210,1987-03-03,10,NA,TKN_mgl,0.3,actual,trophic reports (Woody),pelagic
210,1987-03-03,10,NA,TP_mgl,0.003,actual,trophic reports (Woody),pelagic
210,1987-03-03,20,NA,H_M,6.30957344480193e-7,actual,trophic reports (Woody),pelagic
210,1987-03-03,20,NA,TIN_mgl,0.025,actual,trophic reports (Woody),pelagic
210,1987-03-03,20,NA,TKN_mgl,0.48,actual,trophic reports (Woody),pelagic
210,1987-03-03,20,NA,TP_mgl,0.006,actual,trophic reports (Woody),pelagic
210,1986-08-06,3,NA,H_M,1.584893192461114e-7,actual,trophic reports (Woody),pelagic
210,1986-08-06,3,NA,TIN_mgl,0.025,actual,trophic reports (Woody),pelagic
210,1979-07-17,3,mid-ep,PO4_mgL,0.00153,actual,trophic reports (Woody),pelagic
210,1986-08-06,3,NA,TP_mgl,0.001,actual,trophic reports (Woody),pelagic
210,1986-08-06,11,NA,H_M,2.5118864315095823e-7,actual,trophic reports (Woody),pelagic
210,1986-08-06,11,NA,TKN_mgl,0.3,actual,trophic reports (Woody),pelagic
210,1986-08-06,11,NA,TP_mgl,0.1,actual,trophic reports (Woody),pelagic
210,1986-08-06,25,NA,H_M,6.30957344480193e-7,actual,trophic reports (Woody),pelagic
210,1986-08-06,25,NA,TIN_mgl,0.025,actual,trophic reports (Woody),pelagic
210,1986-08-06,25,NA,TKN_mgl,0.3,actual,trophic reports (Woody),pelagic
210,1986-08-06,25,NA,TP_mgl,0.005,actual,trophic reports (Woody),pelagic
210,1979-07-17,20,mid-hyp,H_M,7.943282347242822e-7,actual,trophic reports (Woody),pelagic
210,1979-07-17,20,mid-hyp,PO4_mgL,0.00153,actual,trophic reports (Woody),pelagic
210,1979-03-07,18.3,NA,TKN_mgl,0.17,actual,trophic reports (Woody),pelagic
210,1979-07-17,3,mid-ep,H_M,3.162277660168379e-7,actual,trophic reports (Woody),pelagic
210,1979-07-17,8,mid-therm,H_M,3.162277660168379e-7,actual,trophic reports (Woody),pelagic
210,1979-07-17,3,mid-ep,TP_mgl,0.001,actual,trophic reports (Woody),pelagic
210,1979-07-17,3,mid-ep,TIN_mgl,0.025,actual,trophic reports (Woody),pelagic
210,1979-07-17,3,mid-ep,TKN_mgl,0.05,actual,trophic reports (Woody),pelagic
210,1979-07-17,8,mid-therm,TKN_mgl,0.05,actual,trophic reports (Woody),pelagic
210,1979-07-17,8,mid-therm,PO4_mgL,0.00153,actual,trophic reports (Woody),pelagic
210,1979-07-17,8,mid-therm,TP_mgl,0.003,actual,trophic reports (Woody),pelagic
210,1979-07-17,8,mid-therm,TIN_mgl,0.025,actual,trophic reports (Woody),pelagic
210,1979-07-17,20,mid-hyp,TIN_mgl,0.025,actual,trophic reports (Woody),pelagic
210,1979-07-17,20,mid-hyp,TP_mgl,0.003,actual,trophic reports (Woody),pelagic
230,1979-07-17,16,mid-hyp,TIN_mgl,0.05,actual,trophic reports (Woody),pelagic
230,1979-07-17,16,mid-hyp,TKN_mgl,0.15,actual,trophic reports (Woody),pelagic
230,1979-03-07,7.6,NA,PO4_mgL,0.00307,actual,trophic reports (Woody),pelagic
230,1986-08-06,21,NA,TKN_mgl,0.43,actual,trophic reports (Woody),pelagic
230,1986-08-06,21,NA,TP_mgl,0.008,actual,trophic reports (Woody),pelagic
230,1979-03-07,7.6,NA,TP_mgl,0.007,actual,trophic reports (Woody),pelagic
230,1979-03-07,7.6,NA,TIN_mgl,0.025,actual,trophic reports (Woody),pelagic
230,1979-03-07,7.6,NA,TKN_mgl,0.38,actual,trophic reports (Woody),pelagic
230,1979-03-07,14.9,NA,PO4_mgL,0.00307,actual,trophic reports (Woody),pelagic
230,1979-03-07,14.9,NA,TP_mgl,0.013,actual,trophic reports (Woody),pelagic
230,1979-03-07,14.9,NA,TIN_mgl,0.06,actual,trophic reports (Woody),pelagic
230,1979-03-07,14.9,NA,TKN_mgl,0.17,actual,trophic reports (Woody),pelagic
230,1979-03-07,14.9,NA,TN_mgl,0.23,actual,trophic reports (Woody),pelagic
230,1979-07-17,4,mid-ep,H_M,3.162277660168379e-7,actual,trophic reports (Woody),pelagic
230,1979-07-17,4,mid-ep,PO4_mgL,0.00153,actual,trophic reports (Woody),pelagic
230,1979-07-17,4,mid-ep,TP_mgl,0.001,actual,trophic reports (Woody),pelagic
230,1979-07-17,4,mid-ep,TIN_mgl,0.025,actual,trophic reports (Woody),pelagic
230,1979-07-17,4,mid-ep,TKN_mgl,0.24,actual,trophic reports (Woody),pelagic
230,1979-07-17,9.5,mid-therm,H_M,3.162277660168379e-7,actual,trophic reports (Woody),pelagic
230,1979-07-17,9.5,mid-therm,PO4_mgL,0.00153,actual,trophic reports (Woody),pelagic
230,1979-07-17,9.5,mid-therm,TP_mgl,0.001,actual,trophic reports (Woody),pelagic
230,1979-07-17,9.5,mid-therm,TIN_mgl,0.025,actual,trophic reports (Woody),pelagic
230,1979-07-17,9.5,mid-therm,TKN_mgl,0.17,actual,trophic reports (Woody),pelagic
230,1979-07-17,16,mid-hyp,H_M,1e-6,actual,trophic reports (Woody),pelagic
230,1979-07-17,16,mid-hyp,PO4_mgL,0.00153,actual,trophic reports (Woody),pelagic
230,1979-07-17,16,mid-hyp,TP_mgl,0.003,actual,trophic reports (Woody),pelagic
230,1987-03-03,6,NA,H_M,2.5118864315095823e-7,actual,trophic reports (Woody),pelagic
230,1987-03-03,6,NA,TIN_mgl,0.025,actual,trophic reports (Woody),pelagic
230,1987-03-03,6,NA,TKN_mgl,0.3,actual,trophic reports (Woody),pelagic
230,1987-03-03,6,NA,TP_mgl,0.004,actual,trophic reports (Woody),pelagic
230,1987-03-03,12,NA,H_M,3.981071705534969e-7,actual,trophic reports (Woody),pelagic
230,1987-03-03,12,NA,TIN_mgl,0.025,actual,trophic reports (Woody),pelagic
230,1987-03-03,12,NA,TKN_mgl,0.35,actual,trophic reports (Woody),pelagic
230,1987-03-03,12,NA,TP_mgl,0.004,actual,trophic reports (Woody),pelagic
230,1986-08-06,4,NA,H_M,2.5118864315095823e-7,actual,trophic reports (Woody),pelagic
230,1986-08-06,4,NA,TIN_mgl,0.025,actual,trophic reports (Woody),pelagic
230,1986-08-06,4,NA,TKN_mgl,0.35,actual,trophic reports (Woody),pelagic
230,1986-08-06,4,NA,TP_mgl,0.05,actual,trophic reports (Woody),pelagic
230,1986-08-06,12,NA,H_M,3.981071705534969e-7,actual,trophic reports (Woody),pelagic
230,1986-08-06,12,NA,TKN_mgl,0.4,actual,trophic reports (Woody),pelagic
230,1986-08-06,12,NA,TP_mgl,0.005,actual,trophic reports (Woody),pelagic
230,1986-08-06,21,NA,H_M,5.011872336272725e-7,actual,trophic reports (Woody),pelagic
230,1986-08-06,21,NA,TIN_mgl,0.025,actual,trophic reports (Woody),pelagic
10,1986-07-03,8.626086956521739,N,cond_uScm,56.8,mean,LMP chem,littoral
10,1986-07-03,8.626086956521739,N,H_M,1.5848931924611151e-7,mean,LMP chem,littoral
10,1986-07-03,8.626086956521739,N,TP_mgl,0.01,mean,LMP chem,littoral
10,1986-08-03,8.626086956521739,N,cond_uScm,73.9,mean,LMP chem,littoral
10,1986-08-03,8.626086956521739,N,H_M,1.258925411794167e-7,mean,LMP chem,littoral
10,1986-08-03,8.626086956521739,N,TP_mgl,0.001,mean,LMP chem,littoral
10,1986-09-02,8.626086956521739,N,cond_uScm,71.9,mean,LMP chem,littoral
10,1986-09-02,8.626086956521739,N,H_M,1.5848931924611151e-7,mean,LMP chem,littoral
10,1986-09-02,8.626086956521739,N,TP_mgl,0.001,mean,LMP chem,littoral
10,1987-05-29,8.626086956521739,N,cond_uScm,70.8,mean,LMP chem,littoral
10,1987-05-29,8.626086956521739,N,H_M,1.258925411794167e-7,mean,LMP chem,littoral
10,1987-05-29,8.626086956521739,N,TP_mgl,0.004,mean,LMP chem,littoral
10,1987-07-01,8.626086956521739,N,cond_uScm,76.1,mean,LMP chem,littoral
10,1987-07-01,8.626086956521739,N,H_M,2.511886431509584e-7,mean,LMP chem,littoral
10,1987-07-01,8.626086956521739,N,TP_mgl,0.001,mean,LMP chem,littoral
10,1987-08-11,8.626086956521739,N,cond_uScm,72.6,mean,LMP chem,littoral
10,1987-08-11,8.626086956521739,N,H_M,3.981071705534972e-7,mean,LMP chem,littoral
10,1987-08-11,8.626086956521739,N,TP_mgl,0.001,mean,LMP chem,littoral
10,1987-09-03,8.626086956521739,N,H_M,5.011872336272729e-7,mean,LMP chem,littoral
10,1987-09-03,8.626086956521739,N,TP_mgl,0.003,mean,LMP chem,littoral
10,1988-06-09,8.626086956521739,N,cond_uScm,57.1,mean,LMP chem,littoral
10,1988-06-09,8.626086956521739,N,H_M,2.511886431509584e-7,mean,LMP chem,littoral
10,1988-06-09,8.626086956521739,N,TP_mgl,0.017,mean,LMP chem,littoral
10,1988-07-14,8.626086956521739,N,cond_uScm,64.8,mean,LMP chem,littoral
10,1988-07-14,8.626086956521739,N,H_M,1.5848931924611151e-7,mean,LMP chem,littoral
10,1988-07-14,8.626086956521739,N,TP_mgl,0.001,mean,LMP chem,littoral
10,1988-08-11,8.626086956521739,N,cond_uScm,62.2,mean,LMP chem,littoral
10,1988-08-11,8.626086956521739,N,H_M,1.5848931924611151e-7,mean,LMP chem,littoral
10,1988-08-11,8.626086956521739,N,TP_mgl,0.004,mean,LMP chem,littoral
10,1988-09-07,8.626086956521739,N,cond_uScm,54.4,mean,LMP chem,littoral
10,1988-09-07,8.626086956521739,N,H_M,1.99526231496888e-7,mean,LMP chem,littoral
10,1988-09-07,8.626086956521739,N,TP_mgl,0.003,mean,LMP chem,littoral
10,1989-04-26,8.626086956521739,N,H_M,1.0000000000000006e-6,mean,LMP chem,littoral
10,1989-04-26,8.626086956521739,N,TP_mgl,0.008,mean,LMP chem,littoral
10,1989-05-24,8.626086956521739,N,H_M,1.0000000000000006e-6,mean,LMP chem,littoral
10,1989-05-24,8.626086956521739,N,TP_mgl,0.01,mean,LMP chem,littoral
10,1989-06-28,8.626086956521739,N,cond_uScm,50,mean,LMP chem,littoral
10,1989-06-28,8.626086956521739,N,H_M,1.2589254117941665e-6,mean,LMP chem,littoral
10,1989-06-28,8.626086956521739,N,TP_mgl,0.002,mean,LMP chem,littoral
10,1989-07-25,8.626086956521739,N,cond_uScm,74,mean,LMP chem,littoral
10,1989-07-25,8.626086956521739,N,H_M,3.1622776601683813e-7,mean,LMP chem,littoral
10,1989-07-25,8.626086956521739,N,TP_mgl,0.001,mean,LMP chem,littoral
10,1989-10-26,8.626086956521739,N,cond_uScm,55,mean,LMP chem,littoral
10,1989-10-26,8.626086956521739,N,H_M,3.1622776601683813e-7,mean,LMP chem,littoral
10,1989-10-26,8.626086956521739,N,TP_mgl,0.003,mean,LMP chem,littoral
10,1990-06-21,8.626086956521739,N,H_M,1.258925411794167e-7,mean,LMP chem,littoral
10,1990-06-21,8.626086956521739,N,TP_mgl,0.006,mean,LMP chem,littoral
10,1990-08-06,8.626086956521739,N,cond_uScm,76.5,mean,LMP chem,littoral
10,1990-08-06,8.626086956521739,N,H_M,1.99526231496888e-7,mean,LMP chem,littoral
10,1990-08-28,8.626086956521739,N,H_M,1.258925411794167e-7,mean,LMP chem,littoral
10,1990-08-28,8.626086956521739,N,TP_mgl,0.004,mean,LMP chem,littoral
10,1990-09-27,8.626086956521739,N,cond_uScm,75.1,mean,LMP chem,littoral
10,1990-09-27,8.626086956521739,N,H_M,6.309573444801936e-8,mean,LMP chem,littoral
10,1991-05-28,8.626086956521739,N,cond_uScm,74.3,mean,LMP chem,littoral
10,1991-05-28,8.626086956521739,N,H_M,1.99526231496888e-7,mean,LMP chem,littoral
10,1991-05-28,8.626086956521739,N,TP_mgl,0.001,mean,LMP chem,littoral
10,1991-06-28,8.626086956521739,N,cond_uScm,74.4,mean,LMP chem,littoral
10,1991-06-28,8.626086956521739,N,H_M,1.0000000000000007e-7,mean,LMP chem,littoral
10,1991-06-28,8.626086956521739,N,TP_mgl,0.001,mean,LMP chem,littoral
10,1991-07-30,8.626086956521739,N,cond_uScm,69.1,mean,LMP chem,littoral
10,1991-07-30,8.626086956521739,N,H_M,2.511886431509584e-7,mean,LMP chem,littoral
10,1991-07-30,8.626086956521739,N,TP_mgl,0.002,mean,LMP chem,littoral
10,1991-08-27,8.626086956521739,N,cond_uScm,70.1,mean,LMP chem,littoral
10,1991-08-27,8.626086956521739,N,H_M,3.1622776601683813e-7,mean,LMP chem,littoral
10,1991-08-27,8.626086956521739,N,TP_mgl,0.003,mean,LMP chem,littoral
10,1992-05-26,8.626086956521739,N,cond_uScm,67.4,mean,LMP chem,littoral
10,1992-05-26,8.626086956521739,N,H_M,3.1622776601683813e-7,mean,LMP chem,littoral
10,1992-05-26,8.626086956521739,N,TP_mgl,0.002,mean,LMP chem,littoral
10,1992-07-01,8.626086956521739,N,cond_uScm,73.2,mean,LMP chem,littoral
10,1992-07-01,8.626086956521739,N,H_M,1.5848931924611151e-7,mean,LMP chem,littoral
10,1992-07-01,8.626086956521739,N,TP_mgl,0.002,mean,LMP chem,littoral
10,1992-07-29,8.626086956521739,N,cond_uScm,74.9,mean,LMP chem,littoral
10,1992-07-29,8.626086956521739,N,H_M,3.1622776601683813e-7,mean,LMP chem,littoral
10,1992-07-29,8.626086956521739,N,TP_mgl,0.003,mean,LMP chem,littoral
10,1992-08-28,8.626086956521739,N,cond_uScm,70.9,mean,LMP chem,littoral
10,1992-08-28,8.626086956521739,N,H_M,1.0000000000000007e-7,mean,LMP chem,littoral
10,1992-08-28,8.626086956521739,N,TP_mgl,0.004,mean,LMP chem,littoral
10,1993-06-03,8.626086956521739,N,alk_mglCaCO3,3.4,mean,LMP chem,littoral
10,1993-06-03,8.626086956521739,N,cond_uScm,70.8,mean,LMP chem,littoral
10,1993-06-03,8.626086956521739,N,H_M,3.5481338923357563e-7,mean,LMP chem,littoral
10,1993-06-03,8.626086956521739,N,TP_mgl,0.006,mean,LMP chem,littoral
10,1993-06-03,8.626086956521739,N,turb_NTU,0.64,mean,LMP chem,littoral
10,1993-06-16,8.626086956521739,N,alk_mglCaCO3,3.6,mean,LMP chem,littoral
10,1993-06-16,8.626086956521739,N,cond_uScm,80,mean,LMP chem,littoral
10,1993-06-16,8.626086956521739,N,H_M,2.511886431509584e-7,mean,LMP chem,littoral
10,1993-06-16,8.626086956521739,N,TP_mgl,0.005,mean,LMP chem,littoral
10,1993-06-16,8.626086956521739,N,turb_NTU,0.7,mean,LMP chem,littoral
10,1993-06-30,8.626086956521739,N,cond_uScm,71.4,mean,LMP chem,littoral
10,1993-06-30,8.626086956521739,N,H_M,1.99526231496888e-7,mean,LMP chem,littoral
10,1993-06-30,8.626086956521739,N,TP_mgl,0.008,mean,LMP chem,littoral
10,1993-06-30,8.626086956521739,N,turb_NTU,0.7,mean,LMP chem,littoral
10,1993-07-14,8.626086956521739,N,alk_mglCaCO3,4,mean,LMP chem,littoral
10,1993-07-14,8.626086956521739,N,cond_uScm,70,mean,LMP chem,littoral
10,1993-07-14,8.626086956521739,N,H_M,2.23872113856834e-7,mean,LMP chem,littoral
10,1993-07-14,8.626086956521739,N,TP_mgl,0.136,mean,LMP chem,littoral
10,1993-07-14,8.626086956521739,N,turb_NTU,0.3,mean,LMP chem,littoral
10,1993-07-28,8.626086956521739,N,alk_mglCaCO3,4.1,mean,LMP chem,littoral
10,1993-07-28,8.626086956521739,N,cond_uScm,78.9,mean,LMP chem,littoral
10,1993-07-28,8.626086956521739,N,H_M,1.99526231496888e-7,mean,LMP chem,littoral
10,1993-07-28,8.626086956521739,N,TP_mgl,0.003,mean,LMP chem,littoral
10,1993-07-28,8.626086956521739,N,turb_NTU,0.5,mean,LMP chem,littoral
10,1993-08-11,8.626086956521739,N,alk_mglCaCO3,3.6,mean,LMP chem,littoral
10,1993-08-11,8.626086956521739,N,cond_uScm,71,mean,LMP chem,littoral
10,1993-08-11,8.626086956521739,N,H_M,1.99526231496888e-7,mean,LMP chem,littoral
10,1993-08-11,8.626086956521739,N,TP_mgl,0.002,mean,LMP chem,littoral
10,1993-08-11,8.626086956521739,N,turb_NTU,0.5,mean,LMP chem,littoral
10,1993-08-25,8.626086956521739,N,alk_mglCaCO3,4,mean,LMP chem,littoral
10,1993-08-25,8.626086956521739,N,cond_uScm,70.1,mean,LMP chem,littoral
10,1993-08-25,8.626086956521739,N,H_M,2.511886431509584e-7,mean,LMP chem,littoral
10,1993-08-25,8.626086956521739,N,TP_mgl,0.001,mean,LMP chem,littoral
10,1993-08-25,8.626086956521739,N,turb_NTU,0.6,mean,LMP chem,littoral
10,1993-09-08,8.626086956521739,N,alk_mglCaCO3,3.5,mean,LMP chem,littoral
10,1993-09-08,8.626086956521739,N,cond_uScm,79.8,mean,LMP chem,littoral
10,1993-09-08,8.626086956521739,N,H_M,2.511886431509584e-7,mean,LMP chem,littoral
10,1993-09-08,8.626086956521739,N,TP_mgl,0.003,mean,LMP chem,littoral
10,1993-09-08,8.626086956521739,N,turb_NTU,0.5,mean,LMP chem,littoral
10,1993-09-22,8.626086956521739,N,alk_mglCaCO3,5.4,mean,LMP chem,littoral
10,1993-09-22,8.626086956521739,N,cond_uScm,94.1,mean,LMP chem,littoral
10,1993-09-22,8.626086956521739,N,H_M,7.07945784384138e-8,mean,LMP chem,littoral
10,1993-09-22,8.626086956521739,N,TP_mgl,0.013000000000000001,mean,LMP chem,littoral
10,1993-09-22,8.626086956521739,N,turb_NTU,0.6,mean,LMP chem,littoral
10,1993-10-06,8.626086956521739,N,alk_mglCaCO3,4.8,mean,LMP chem,littoral
10,1993-10-06,8.626086956521739,N,cond_uScm,71.6,mean,LMP chem,littoral
10,1993-10-06,8.626086956521739,N,H_M,4.677351412871984e-7,mean,LMP chem,littoral
10,1993-10-06,8.626086956521739,N,TP_mgl,0.02,mean,LMP chem,littoral
10,1993-10-06,8.626086956521739,N,turb_NTU,0.6,mean,LMP chem,littoral
10,1994-06-13,8.626086956521739,N,alk_mglCaCO3,4.3,mean,LMP chem,littoral
10,1994-06-13,8.626086956521739,N,cond_uScm,79.9,mean,LMP chem,littoral
10,1994-06-13,8.626086956521739,N,H_M,1.7782794100389237e-7,mean,LMP chem,littoral
10,1994-06-13,8.626086956521739,N,TP_mgl,0.003,mean,LMP chem,littoral
10,1994-06-13,8.626086956521739,N,turb_NTU,0.6,mean,LMP chem,littoral
10,1994-07-06,8.626086956521739,N,alk_mglCaCO3,4.5,mean,LMP chem,littoral
10,1994-07-06,8.626086956521739,N,cond_uScm,79.7,mean,LMP chem,littoral
10,1994-07-06,8.626086956521739,N,H_M,2.951209226666386e-7,mean,LMP chem,littoral
10,1994-07-06,8.626086956521739,N,TP_mgl,0.002,mean,LMP chem,littoral
10,1994-07-06,8.626086956521739,N,turb_NTU,0.9,mean,LMP chem,littoral
10,1994-07-26,8.626086956521739,N,alk_mglCaCO3,4.2,mean,LMP chem,littoral
10,1994-07-26,8.626086956521739,N,cond_uScm,79.5,mean,LMP chem,littoral
10,1994-07-26,8.626086956521739,N,H_M,1.1748975549395313e-7,mean,LMP chem,littoral
10,1994-07-26,8.626086956521739,N,TP_mgl,0.006,mean,LMP chem,littoral
10,1994-07-26,8.626086956521739,N,turb_NTU,2.6,mean,LMP chem,littoral
10,1994-08-16,8.626086956521739,N,alk_mglCaCO3,5,mean,LMP chem,littoral
10,1994-08-16,8.626086956521739,N,cond_uScm,80.7,mean,LMP chem,littoral
